Account Name,Account Number,Account Type,Description,CUSIP,Ticker,Quantity,Acquired Date,Sale Date,Trade Currency,Market Cost/Proceeds USD,Market Cost/Proceeds Local,Cost Basis USD,Cost Basis Local,Unit Cost Basis,Original Cost,Cost Source,Unit Sale Price,Short Term Realized Gain Loss USD,Short Term Realized Gain Loss Local,Original Short Term Realized Gain Loss USD,Long Term Realized Gain Loss USD,Long Term Realized Gain Loss Local,Original Long Term Realized Gain Loss USD,FX Realized Gain Loss USD,FX Realized Gain Loss,Local Ordinary Income Gain USD,Ordinary Income Gain Local,Total Realized Gain Loss USD,Total Realized Gain Loss Local,Total Realized Gain Loss %,Disallowed Loss,Disclaimers-Cost,Disclaimers-Sold Date,Disclaimers-Acquisition Date,Security Type
Chase Account 1234,...3456,Brokerage,ABC STOCK,7cee041c,ABC,19,5/11/26,5/22/26,,15232.76,,6121.63,,322.19,6121.63,,801.72,9111.13,,9111.13,0.00,,0.00,,,,,9111.13,,-1.56,0,C,,,stock
Chase Account 1234,...3456,Brokerage,BCD INC,ba5f4b90,BCD,3,5/14/26,5/22/26,,966.65,,1264.23,,421.41,1264.23,,322.22,-297.57,,-297.57,0.00,,0.00,,,,,-297.58,,0.62,0,C,,,stock
Chase Account 1234,...3456,Brokerage,BCD INC,a33c41ad,BCD,7,5/22/26,6/1/26,,2541.50,,1478.28,,211.18,1478.28,,363.07,1063.22,,1063.22,0.00,,0.00,,,,,1063.22,,0,0,"C,W",,,stock
Chase Account 1234,...3456,Brokerage,BCD INC,41adf9c,BCD,9,6/2/26,8/21/26,,5737.16,,2391.40,,265.71,2391.40,,637.46,3345.76,,3345.76,0.00,,0.00,,,,,3345.76,,1.25,0,C,,,stock
Chase Account 1234,...3456,Brokerage,CDE COM,,CDE,2,8/12/25,3/11/26,,73.32,,76.34,,38.17,76.34,,36.66,-3.01,,-3.01,0.00,,0.00,,,,,-3.02,,26.94,0,C,,,options
Chase Account 1234,...3456,Brokerage,DEF INC,,DEF,2,8/11/25,3/11/26,,296.67,,160.67,,80.33,160.67,,148.33,136.00,,136.00,0.00,,0.00,,,,,136.00,,14.52,0,C,,,options
Chase Account 1234,...3456,Brokerage,FGH ENT,,FGH,1,7/2/25,3/11/26,,130.86,,188.76,,188.76,188.76,,130.86,-57.89,,-57.89,0.00,,0.00,,,,,-57.90,,0.18,0,C,,,options
Chase Account 1234,...3456,Brokerage,GEF LIMITED ORDINARY SHARES,9c9d64c,GEF,8,5/22/26,5/26/26,,4935.08,,3131.52,,391.44,3131.52,,616.88,1803.56,,1803.56,0.00,,0.00,,,,,1803.56,,5.47,0,C,,,stock
Chase Account 1234,...3456,Brokerage,WEB ETF,238977bc,WEB,130,9/5/25,6/1/26,,33242.44,,22076.89,,169.82,22076.89,,255.71,11165.56,,11165.56,0.00,,0.00,,,,,11165.55,,16.86,0,C,,,stock
Chase Account 1234,...3456,Brokerage,GHI TECHNOLOGY INC COMMON STOCK,8444369,GHI,10,6/1/26,6/1/26,,1114.04,,1741.16,,174.12,1741.16,,111.40,-627.11,,-627.11,0.00,,0.00,,,,,-627.12,,0.55,0,C,,,stock
